	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	97708454.0	0.162252497554	-1.81860153027	0.0	-4.50823351946	0.00257990521392	0.0110179059118	4.68768403528e-06	5.75205640303e-05	0.0153762418331	-67.6359504554	-1.21800289249	-66.4179475629	-66.4179475629	-0.00288862355454
B	80126904.0	0.133056965906	-2.01697792738	-2.0	-6.99999991689	0.00211567997575	0.000911882041337	3.8796981218e-07	5.72734161914e-06	0.0130291591685	-11428.1203503	-1.84975679684	-11426.2705935	-11426.2705935	-0.496946918536
C	3124673.0	0.00518876440984	-5.26125968147	-2.0	-15.0424322513	8.2504248357e-05	2.93193730181e-07	1.24742358413e-10	2.8447208725e-09	0.000775759459444	57.6821990646	1.07796535705	56.6042337075	56.6042337075	0.00246180932675
D	308995.0	0.000513111781736	-7.57501683841	-4.0	-22.7781348762	8.15876353819e-06	1.28109611815e-10	5.45055827192e-14	1.66462629173e-12	9.55914833864e-05	22793.9563304	2.02481931029	22791.9315111	22791.9315111	0.991257824611
E	2708035.0	0.00449690452847	-5.40436600147	-2.0	-15.397186549	7.15032903308e-05	2.0563017492e-07	8.74875222076e-11	2.02616945216e-09	0.000682553755717	0.0284057704175	-2.18178142219e-10	0.0284057706358	0.0284057706358	1.23541273339e-06
F	5584911298.0	9.27418016984	2.22723421319	-10.0	-4.47878396202	0.147464637745	0.0113472033985	4.82778711688e-06	5.90975327734e-05	0.28227192496	1.38733457788e-06	-1.61298414625e-08	1.40346442024e-06	1.40346441846e-06	6.10389288484e-11
A_ext	602199999.0	0.999999999964	-3.55700859117e-11	0.0	-8.81766846272e-11	0.0159005577894	0.999999999912	0.00042546052511	0.0033025685663	0.0658505873491					-0.000260992324942
D_ext	6022.0	1.00000004784e-05	-11.5129254171	-4.0	-32.5400377205	1.59005585506e-07	7.37974196835e-15	3.13978889331e-18	1.26540952877e-16	2.48912535186e-06					0.00223075810268
E_ext	30899590820.0	51.3111770523	3.93790860471	-2.0	7.76190290881	0.81587633599	2349.37099313	0.999564616506	0.000435288701086	0.166024702683					-0.496253752594
F_ext	602200007.0	1.00000001182	1.1822445549e-08	-10.0	-9.99999997069	0.0159005579779	4.5399931093e-05	1.93158785245e-08	3.43095170031e-07	0.0658505879414					0.000398659495094
