	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	9454.0	1.57e-05	-11.0618498456	0.0	-27.4218411407	0.00768746394971	1.23266682812e-12	2.96875285221e-05	0.000309486057951	0.0374238378291	-1.15	-1.14375738549	-0.00624261450571	-0.0062426145057	-1.74882187287e-05
B	374.0	6.22e-07	-14.2903257442	-2.0	-37.4250914517	0.000304560673676	5.57813855912e-17	1.34343801421e-09	2.7443797198e-08	0.00246591820416	-2.5	-2.59043987966	0.0904398796556	0.0904398796556	0.000253360574447
C	3011.0	5e-06	-12.2060726455	-2.0	-32.2583193325	0.00244823692666	9.78114998364e-15	2.35569062536e-07	3.59508111351e-06	0.0147197482019	1.35	1.3369517177	0.0130482823001	0.0130482823001	3.6553789232e-05
D	668.0	1.11e-06	-13.7111505426	-4.0	-37.9893415011	0.000543508597718	3.17277017916e-17	7.64129471482e-10	1.60408227832e-08	0.00408580687813	1.9	2.12968343166	-0.229683431664	-0.229683431664	-0.000643440995377
E	11923.0	1.98e-05	-10.8298286203	-2.0	-28.846670688	0.00969501822957	2.96517342334e-13	7.14131901423e-06	8.46218670766e-05	0.0449474919662	0.0	0.0	0.0	0.0	0.0
F	20.0	3.4e-08	-17.1969053123	-10.0	-52.630374862	1.66480111013e-05	1.38969219038e-23	3.346932488e-16	1.19262307115e-14	0.000183181725414	0.0	0.0	0.0	0.0	0.0
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489647385332	3.65705449446e-08	0.880764429892	0.111826324765	0.349642395189	-64.6	-1.01572327044	-63.5842767296	-63.5842767296	-0.178126606751
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89647385332e-06	2.69881153326e-22	6.49981345665e-15	2.12329425151e-13	5.98691624663e-05	112.0	1.00900900901	110.990990991	110.990990991	0.310932979379
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489647385332	4.94928505819e-09	0.119198503584	0.253531054504	0.349642395189	-51.4	-1.01984126984	-50.3801587302	-50.3801587302	-0.141136255435
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89647385332e-06	6.68968496248e-25	1.61114267536e-17	6.22980585285e-16	5.98691624663e-05	4.4	1.29411764706	3.10588235294	3.10588235294	0.00870089765824
