	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	4219.0	7.00662970684e-06	-11.8686537561	0.0	-29.4218726883	0.0032726174894	1.66818051521e-13	4.01522819338e-06	4.98908821513e-05	0.0187264577759	-0.460028603228	-0.460028603228	0.0	58.9068157462	0.0934362462422
B	114.0	1.89902010648e-07	-15.4767576313	-2.0	-40.3662041214	8.86983710174e-05	2.94564424625e-18	7.09002036494e-11	1.65691987897e-09	0.000827579664461	-0.191885518679	-0.191885518679	0.0	68.8205656694	0.109161142712
C	5476.0	9.09427021406e-06	-11.6078659896	-2.0	-30.7753912402	0.00424770096339	4.30940594023e-14	1.03725274754e-06	1.42922381132e-05	0.0231982980103	0.423867248263	0.423867248263	0.0	-1.28241362262	-0.00203412650148
D	2248.0	3.73346528841e-06	-12.4981737238	-4.0	-34.9824251085	0.00174380612508	6.41690798465e-16	1.54451809138e-08	2.77796541984e-07	0.0110761074281	0.200715260017	0.200715260017	-2.22044604925e-16	-351.769498776	-0.5579663591
E	72812.0	0.000120910568067	-9.02045939252	-2.0	-24.3613236421	0.0564742331573	2.63033806797e-11	0.000633109395078	0.00466276670058	0.162305296773	4.52635948278e-07	4.52635948271e-07	0.0	-7.28308323019e-05	-1.15522108856e-07
F	19.0	3.16165460295e-08	-17.2695852449	-10.0	-52.8105452306	1.47672798221e-05	1.16057074801e-23	2.79343652881e-16	1.00044384233e-14	0.000164257880682	-5.87554346093e-07	-5.87554346079e-07	-2.77555756156e-17	1.81210454051e-05	2.87430654529e-08
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.467074417563	3.65705449446e-08	0.880234973196	0.112288399781	0.35556819193	-1.00705606897	-0.00705606896929	-1.0	-142.71496411	-0.226370248673
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.67074417563e-06	2.69881153326e-22	6.49590620332e-15	2.12205692974e-13	5.73296114793e-05	1.16979994864	0.00313328197338	1.16666666667	373.343850364	0.59218695653
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.467074417563	4.94928505819e-09	0.119126849412	0.253450281213	0.35556819193	-0.37918023039	-0.0458468970564	-0.333333333333	-8.14966508122	-0.0129267573484
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.67074417563e-06	6.68968496248e-25	1.61017416409e-17	6.22615773204e-16	5.73296114793e-05	0.243768099263	0.0771014325968	0.166666666667	2.84536451893	0.00451323291663
