	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.4313513959340998e-05	-11.154306434838388	0.0	-27.65103697477224	0.00700194905190608	9.8018312861247e-13	2.3606813951849894e-05	0.0002515064094694138	0.03474063747997193	-1.2101342911769306	-1.2101342911398776	-3.7047698242531624e-11	-3.7047698242531624e-11	-9.919495780330578e-14
B	295.0	4.912107175901483e-07	-14.526392641153329	-2.0	-38.01029094700586	0.00024029266524534112	3.106993796824775e-17	7.482910322586536e-10	1.572401091907001e-08	0.0020025156759446924	-2.2162303391491243	-2.2162303462573805	7.1082482122619695e-09	7.1082482122619695e-09	1.9035162335256928e-11
C	4039.0	6.70736517718329e-06	-11.912304355156765	-2.0	-31.530080610875068	0.0032811390254394715	2.0260958021107464e-14	4.879666386092495e-07	7.091628331185797e-06	0.01876668679153078	1.243027144878985	1.2430271480622335	-3.1832474434168034e-09	-3.1832474434168034e-09	-8.524417283162222e-12
D	643.0	1.0688311276351368e-06	-13.748944910678002	-4.0	-38.083032083632396	0.0005228556119797934	2.889011774959009e-17	6.957920564568807e-10	1.4671450616338424e-08	0.003950804298553972	2.1048055321567034	2.1048055336938063	-1.5371028894151095e-09	-1.5371028894151095e-09	-4.116151863797768e-12
E	12960.0	2.1522376126773483e-05	-10.746417413953063	-2.0	-28.639897961872492	0.010528412627654004	3.6462828340832667e-13	8.781738633052877e-06	0.00010224434399860966	0.04794299792329776	0.0	0.0	0.0	0.0	0.0
F	57.0	9.522736710884758e-08	-16.166998466829817	-10.0	-50.077280912883076	4.65837511834869e-05	1.785308327817551e-22	4.299751782214158e-15	1.4223673102671843e-13	0.00046463838853392874	0.0	0.0	0.0	0.0	0.0
A_ext	602200.0	0.0010000000000000002	-6.907755278982137	0.0	-17.12402270348606	0.4891844917883781	3.6570544944566896e-08	0.8807681191638624	0.11182310389349022	0.34977453157729615	-70.86404612276706	-1.0143135139674386	-69.84973260879963	-69.84973260879963	-0.18705055175039037
D_ext	6.0	9.999999999999982e-09	-18.420680743952367	-4.0	-49.66406054262949	4.891844917883771e-06	2.6988115332611054e-22	6.499840682525205e-15	2.1233028731273982e-13	5.9817191241562225e-05	107.88311276434972	1.0093560149413383	106.87375674940839	106.87375674940839	0.28619716097661074
E_ext	602200.0	0.0010000000000000002	-6.907755278982137	-2.0	-19.12402270348606	0.4891844917883781	4.9492850581902354e-09	0.11919900287281997	0.25353161718346257	0.34977453157729615	-47.463271244725846	-1.021522376130878	-46.44174886859497	-46.44174886859497	-0.12436632791103025
F_ext	6.0	9.999999999999982e-09	-18.420680743952367	-10.0	-55.66406054262949	4.891844917883771e-06	6.689684962483237e-25	1.61114942397939e-17	6.229831272874105e-16	5.9817191241562225e-05	10.522736556433552	1.1050118307981964	9.417724725635356	9.417724725635356	0.025219718678514497
