	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	3019.0	5.0138481962024545e-06	-12.203306834673246	0.0	-30.251463008594463	0.016287537760836555	7.277069888332343e-14	3.8953350358601754e-05	0.0003954990445157281	0.06706157533272858	-1.0529504252976452	-1.052949826243209	-5.990544345024773e-07	-5.990544416079047e-07	-2.1800097976809596e-09
B	185.0	3.087282740060493e-07	-14.990804319071882	-2.0	-39.161547150397766	0.0010029069935783073	9.825534157912675e-18	5.2594997765136464e-09	1.0026305347357964e-07	0.006924924864422888	-2.234305743049781	-2.234311336954248	5.5939044649733205e-06	5.593904472078748e-06	2.0356691846079578e-08
C	284.0	4.7312524868604753e-07	-14.563905687130429	-2.0	-38.10328414451292	0.0015369522674052697	2.831091811543732e-17	1.5154521383565283e-08	2.72856656023071e-07	0.009956305889561411	1.1135329025209373	1.1135325178113145	3.847096152753693e-07	3.847096152753693e-07	1.3999908454742638e-09
D	19.0	3.1639049716017645e-08	-17.268873728757868	-4.0	-46.8087814133533	0.00010277978048017754	4.690342181109786e-21	2.5106883001829668e-12	6.7061649902144e-11	0.0009438186983050807	2.1334721445721527	2.133474995360323	-2.850788177966024e-06	-2.850788163755169e-06	-1.0374259395984353e-08
E	6.0	1.089731390116523e-08	-18.3347495091662	-2.0	-47.45104077629612	3.54000369997941e-05	2.4676003904372623e-21	1.3208792004023598e-12	3.6129643598526284e-11	0.00036280781752261854	1.054944355871612e-06	-3.7052698687034535e-09	1.0586496230757803e-06	1.0586496230757803e-06	3.852515591262762e-09
F	309.0	5.142346192378762e-07	-14.480586217975116	-10.0	-45.89673883075533	0.0016704964831424497	1.1676147925672756e-20	6.250112860903448e-12	1.6124304659941074e-10	0.010682214278590724	-6.09848436461391e-06	6.253570572489764e-08	-6.161020071004941e-06	-6.161020071004941e-06	-2.2420473512474448e-08
A_ext	181409.0	0.0003012445073917985	-8.107588306049948	0.0	-20.09835621214635	0.9785959002717287	1.8680771219596707e-09	0.9999610247698114	3.897447064443507e-05	0.021173379937524835	-61.08210883229344	-1.0166438898273575	-60.065464942466086	-60.065464942466086	-0.2185833109107077
D_ext	0.0	4.713743492290458e-10	-21.4753685409311	-4.0	-57.236497763542936	1.5312644523966415e-06	1.3883688395203656e-25	7.431784861584695e-17	2.7600296783022925e-15	2.050273786839584e-05	68.12062652382673	1.0148985498465963	67.10572797398014	67.10572797398012	0.24420342397542166
E_ext	110.0	1.838796921132752e-07	-15.508984140399196	-2.0	-40.446092225683756	0.0005973350830634195	2.7194766350488785e-18	1.4557057687042016e-09	2.9620373432549745e-08	0.004434037629759043	-17.873487980237215	-1.059264569434087	-16.814223410803127	-16.814223410803127	-0.061188382160132906
F_ext	31.0	5.207311661811297e-08	-16.770617017172313	-10.0	-51.57362485427315	0.00016916005831296477	3.998152120843719e-23	2.1401666156857903e-14	6.736240258273365e-13	0.0014690984717687166	10.875226453498284	1.1012635006102318	9.773962952888052	9.773962952888052	0.03556827846096339
