	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	6062.0	1.006798171055375e-05	-11.506150297284655	0.0	-28.52324249527526	0.006572033178783849	4.0974454299054523e-13	2.645900278436392e-05	0.0002788756161921785	0.03302402002435396	-1.1439397369791457	-1.1452869564758317	0.0013472194966874795	0.001347219496694585	3.780018261949347e-06
B	227.0	3.785564752366941e-07	-14.786900567176348	-2.0	-38.656078682600565	0.00024710868442391956	1.6288396632681637e-17	1.0518132315111564e-09	2.1743872270948527e-08	0.0020524062264467373	-2.58723460238075	-2.5832802435360325	-0.003954358844717731	-0.003954358844731054	-1.1095110102013472e-05
C	2064.0	3.428672789257033e-06	-12.583337313575333	-2.0	-33.19354191641804	0.0022381200103462674	3.839086618314779e-15	2.4790666589975527e-07	3.770713318589086e-06	0.013657274743719878	1.335193550910649	1.3347265028435573	0.0004670480670920796	0.0004670480670920796	1.3104399299093683e-06
D	476.0	7.914768381795843e-07	-14.049365221250508	-4.0	-38.827760871938565	0.0005166489362314376	1.3718850033083407e-17	8.858863343837157e-10	1.8465797868122472e-08	0.003910075073171617	2.1294179012938486	2.129874640598268	-0.0004567393044254686	-0.00045673930441125776	-1.2815156816281537e-06
E	10183.0	1.691045834699911e-05	-10.987578290335426	-2.0	-29.237725209014446	0.011038567264024942	2.0054751192799352e-13	1.2950232693208751e-05	0.0001457470573997386	0.04974375823381941	-0.0006275012147654024	2.4739108384075337e-07	-0.0006277486058507975	-0.0006277486058579029	-1.7613322846610213e-06
F	180.0	3.0051817273173904e-07	-15.017757609818858	-10.0	-47.228363177318876	0.00019616795687562457	3.0830635926241814e-21	1.9908694228417478e-13	5.82230454929336e-12	0.001674595481674819	-0.005070145117998415	0.0004273498968605516	-0.005497495014858522	-0.00549749501485941	-1.5424829882733707e-05
A_ext	385144.0	0.0006395617157071048	-7.354727435413989	0.0	-18.232047097148854	0.41748395421705975	1.2075984638769773e-08	0.7797993082448891	0.19395066204074565	0.3646760616863661	-64.49044197050718	-1.015750402248964	-63.474691568258216	-63.474691568258216	-0.1780968089380495
D_ext	4.0	7.12990028367584e-09	-18.758968588077213	-4.0	-50.50266128761142	4.654154384946808e-06	1.1667367602742538e-22	7.534131135317782e-15	2.450049183508928e-13	5.7142545494257806e-05	111.67884038964326	1.0090351506799269	110.66980523896333	110.66980523896333	0.31051650148877835
E_ext	518138.0	0.0008604100180009074	-7.058101517215764	-2.0	-19.496724441303805	0.5616461519524316	3.409417295616129e-09	0.22016103267505197	0.3331908336217504	0.3240042576256912	-51.36311206062102	-1.019855802373696	-50.34325625824732	-50.34325625824732	-0.14125272718344253
F_ext	52.0	8.669825177365117e-08	-16.26083211745028	-10.0	-50.309890421859855	5.65936454375673e-05	1.4147907269501033e-22	9.135924425118902e-15	2.95333027485998e-13	0.0005534639987703375	4.446974174973103	1.290109513224828	3.1568646617482745	3.156864661748275	0.008857506962472833
