	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.4313781545617628e-05	-11.154287740353148	0.0	-27.650990631962344	0.007002078663294308	9.802285541054261e-13	2.360790795755766e-05	0.00025151697094799314	0.034741150942936116	-1.2101314769826512	-1.2101311504455676	-3.2653707826568734e-07	-3.2653709247654206e-07	-8.744451638481587e-10
B	295.0	4.912241801108204e-07	-14.526365234715092	-2.0	-38.01022300764617	0.00024029920671112212	3.107204891164635e-17	7.483418715835347e-10	1.5725028376400838e-08	0.002002563648695405	-2.216224442168052	-2.21622379332365	-6.488444057595188e-07	-6.488443986540915e-07	-1.7375631905514055e-09
C	4039.0	6.707466861013329e-06	-11.912289195245743	-2.0	-31.53004303011981	0.0032811881641881327	2.0261719457519733e-14	4.879849765767327e-07	7.091876498899876e-06	0.018766918704664102	1.2430226681400587	1.2430224667914047	2.0134865330589946e-07	2.0134865330589946e-07	5.391986232505808e-10
D	643.0	1.068844571528038e-06	-13.74893233263082	-4.0	-38.083000903204486	0.0005228620923703979	2.889101856986782e-17	6.9581375113071e-10	1.4671886374573756e-08	0.003950846785284447	2.1048049897458725	2.104804553929603	4.3581626130162476e-07	4.358162755124795e-07	1.1670877042568861e-09
E	12960.0	2.1522353975575927e-05	-10.746418443170693	-2.0	-28.639900513257906	0.010528399855479629	3.646273531022296e-13	8.781716217909207e-06	0.00010224410543787973	0.047942952535098594	2.394048834730711e-07	-1.1090151019743644e-10	2.3951578498326853e-07	2.395157778778412e-07	6.414077047267597e-10
F	57.0	9.522926955793055e-08	-16.166978489063577	-10.0	-50.0772313888758	4.6584673265244784e-05	1.785396745629548e-22	4.299964723738508e-15	1.4224356223220204e-13	0.0004646466635251004	-5.544990457906351e-07	6.114321715600113e-09	-5.606133672841906e-07	-5.606133672841906e-07	-1.501286223809517e-09
A_ext	602200.0	0.0010000000000000002	-6.907755278982137	0.0	-17.12402270348606	0.4891844018283273	3.6570544944566896e-08	0.8807681182037929	0.11182310473166852	0.349774557214501	-70.86345654966617	-1.0143136347582387	-69.84914291490793	-69.84914291490793	-0.18705147236187702
D_ext	6.0	9.999999999999982e-09	-18.420680743952367	-4.0	-49.66406054262949	4.891844018283263e-06	2.6988115332611054e-22	6.49984067544014e-15	2.1233028708837705e-13	5.981718114090068e-05	107.88089614891591	1.0093562089768289	106.87153993993908	106.87153993993908	0.28619504928929024
E_ext	602200.0	0.0010000000000000002	-6.907755278982137	-2.0	-19.12402270348606	0.4891844018283273	4.9492850581902354e-09	0.11919900274288867	0.2535316170370351	0.349774557214501	-47.461965617224195	-1.0215229809310797	-46.44044263629311	-46.44044263629311	-0.12436449195716473
F_ext	6.0	9.999999999999982e-09	-18.420680743952367	-10.0	-55.66406054262949	4.891844018283263e-06	6.689684962483237e-25	1.6111494222231777e-17	6.22983126625898e-16	5.981718114090068e-05	10.523054594333393	1.1050083237572785	9.418046270576115	9.418046270576115	0.025220916795352055
