	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.43137776357e-05	-11.1542880135	0.0	-27.6509913091	0.00700207685542	9.80227890349e-13	2.36078919725e-05	0.000251516816629	0.0347411437809	-1.21013238175	-1.21013101205	-1.36969999343e-06	-1.36970000764e-06	-3.66796708111e-09
B	295.0	4.91223190024e-07	-14.5263672503	-2.0	-38.0102280041	0.000240298725972	3.10718936616e-17	7.48338132557e-10	1.57249535466e-08	0.00200256012314	-2.21622468517	-2.21622535142	6.66250468129e-07	6.66250461023e-07	1.7841751826e-09
C	4039.0	6.70746473504e-06	-11.9122895122	-2.0	-31.5300438158	0.0032811871733	2.02617035375e-14	4.87984593177e-07	7.09187131035e-06	0.0187669140281	1.24302388349	1.24302277455	1.10893572725e-06	1.10893572725e-06	2.96965733948e-09
D	643.0	1.06884266775e-06	-13.7489341138	-4.0	-38.0830053186	0.000522861168899	2.88908910048e-17	6.95810678869e-10	1.46718246653e-08	0.00395084073083	2.10480760264	2.10480482726	2.77538157434e-06	2.77538158855e-06	7.43229028322e-09
E	12960.0	2.15223318611e-05	-10.7464194707	-2.0	-28.6399030604	0.010528389195	3.64626424341e-13	8.78169384989e-06	0.000102243867379	0.0479429146512	2.84895185843e-06	-1.31973854067e-09	2.85027159919e-06	2.85027159208e-06	7.63284087324e-09
F	57.0	9.52297205903e-08	-16.1669737528	-10.0	-50.0772196479	4.65848946004e-05	1.78541770809e-22	4.30001521008e-15	1.42245181842e-13	0.000464648649839	-3.03462614326e-06	3.34625664955e-08	-3.06808870931e-06	-3.06808870931e-06	-8.21614086835e-09
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489184409149	3.65705449446e-08	0.880768118238	0.111823104702	0.349774555128	-70.8634197487	-1.0143136423	-69.8491061064	-69.8491061064	-0.18705133704
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89184409149e-06	2.69881153326e-22	6.49984067569e-15	2.12330287096e-13	5.98171819629e-05	107.881037804	1.00935619658	106.871681607	106.871681607	0.286195372435
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489184409149	4.94928505819e-09	0.119199002748	0.253531617042	0.349774555128	-47.4620760327	-1.02152292978	-46.4405531029	-46.4405531029	-0.124364763345
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89184409149e-06	6.68968496248e-25	1.61114942229e-17	6.22983126649e-16	5.98171819629e-05	10.522983744	1.10500910501	9.41797463902	9.41797463902	0.0252207200154
