	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	296871.0	0.000492977659452513	-7.615046700460507	0.0	-18.87736715044817	0.0035339639550032256	6.333789324414009e-09	8.498535212563112e-07	1.1879424046265947e-05	0.019950410773664048	-1.3721763026841516	-1.3721759389188668	-3.6376525880399413e-07	-3.637653152033238e-07	-3.219203098536738e-10
B	2385.0	3.962120508576316e-06	-12.438731194053474	-2.0	-32.83506968140855	2.8402891681213228e-05	5.494275398207052e-15	7.372094420507399e-13	2.059461246730776e-11	0.00029735042965672306	-3.835395575656719	-3.8353956877308795	1.1207413308511605e-07	1.120741899285349e-07	9.918194043834205e-11
C	247552.0	0.00041107982352027916	-7.796723144514979	-2.0	-21.327735095899733	0.002946870413079422	5.463643276768531e-10	7.330992933017545e-08	1.2043772892522421e-06	0.017171447929479753	1.372262166306939	1.372262517141183	-3.508342558689037e-07	-3.508342558689037e-07	-3.1047672766071344e-10
D	3896.0	6.470467805712968e-06	-11.948262148245636	-4.0	-33.61921840460881	4.638425202227869e-05	2.5081815043356866e-15	3.365421194534041e-13	9.665507535840474e-12	0.0004628476036401045	5.6492733038800225	5.649273770864245	-4.6698423261659627e-07	-4.6698423261659627e-07	-4.1326565780597235e-10
E	694.0	1.1534061609704411e-06	-13.672791114206241	-2.0	-35.8942501585247	8.268317478879233e-06	2.5782511735319834e-16	3.459439091324833e-14	1.0722560812862248e-12	9.676477693846986e-05	-2.318222549479998e-07	7.718603720618944e-07	-1.0036826270098942e-06	-1.0036826270098942e-06	-8.882260311374873e-10
F	4.0	6.8740634916146886e-09	-18.79551042207398	-10.0	-56.59324689316863	4.927747158106252e-08	2.6415884760419207e-25	3.544423650816676e-23	1.8322572533446873e-21	8.291328234887104e-07	-3.5605702919383475e-07	1.8155477121695185e-11	-3.560751906661608e-07	-3.560751906661608e-07	-3.151147814905997e-10
A_ext	83453329.0	0.1385807531635485	-1.9763020679329824	0.0	-4.899166243367197	0.9934311974320912	0.0074527942979174845	0.9999990768354332	9.231641406741065e-07	0.006547180588825626	-282.10971435606757	-1.0035573299282476	-281.10615702613933	-281.10615702613933	-0.24876968025911328
D_ext	27.0	4.628284606907882e-08	-16.888494439772828	-4.0	-45.86583782061568	3.3178361454499683e-07	1.2042585173737002e-20	1.6158468320820426e-18	6.619586798073566e-17	4.949807696573875e-06	140.80271738576707	1.0071529367862044	139.79556444898085	139.79556444898085	0.12371446515979875
E_ext	380.0	6.321067096174677e-07	-14.274207612720717	-2.0	-37.38513530990639	4.531325679108184e-06	5.805532086549954e-17	7.78973160269654e-15	2.530569870730501e-13	5.575567876980265e-05	-1.548034752103727	-2.824701802506731	1.276667050403004	1.276667050403004	0.001129808244991831
F_ext	0.0	4.908606283569963e-11	-23.737445974055266	-10.0	-68.84408861722028	3.518787787402678e-10	1.2629675782370943e-30	1.694621321647217e-28	1.083624304302227e-26	7.659603788951003e-09	141.04106871843746	1.007140762414564	140.0339279560229	140.0339279560229	0.12392540900414425
