	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	24314.0	4.03756472492786e-05	-10.117283745608063	0.0	-25.0803031607876	0.0050755231599088875	1.2816302010226715e-11	3.852488825894858e-06	4.802817367810614e-05	0.026815641818057973	-1.0838468535125898	-1.021926828133753	-0.06192002537883923	-0.06192002537883923	-7.298034855844626e-05
B	194.0	3.229781556921568e-07	-14.945681145446775	-2.0	-39.04968877985579	4.060078837224064e-05	1.0988429922744864e-17	3.3030435345331278e-12	8.731984282169219e-11	0.00041054392858626726	-3.6326694192578666	-3.4615920872325474	-0.17107733202532716	-0.17107733202532716	-0.00020163562991570654
C	2935.0	4.874893729943774e-06	-12.231412252737957	-2.0	-32.32113510866081	0.0006128108826507129	9.185639000474477e-15	2.7611374622566295e-09	5.441545648345137e-08	0.0045332404259047525	1.7565803721918414	1.730958942244873	0.02562142994697325	0.025621429946980356	3.0197999381559315e-05
D	244.0	4.068254087109643e-07	-14.714881714764426	-4.0	-40.47754710266271	5.114102001148208e-05	2.635267174182993e-18	7.921424864743731e-13	2.207228605691843e-11	0.0005053205137497565	1.9861339613360087	2.033867379085165	-0.04773341774915707	-0.04773341774915707	-5.625969052663882e-05
E	8497.0	1.4110882487754205e-05	-11.168564250628364	-2.0	-29.6863814754717	0.001773844278734847	1.2804668441782732e-13	3.848991858329645e-08	6.571333564578937e-07	0.011236604928109833	0.0480194549974442	-4.3881508697829474e-06	0.04802384314831443	0.048023843148300216	5.660199249978015e-05
F	175.0	2.9176420649959583e-07	-15.047319872879246	-10.0	-47.30164673230421	3.6676959707378975e-05	2.8652059161071517e-21	8.612604296374083e-16	2.9875517831003786e-14	0.000374595059250037	-0.019844214211969913	0.010445143133490431	-0.030289357345460344	-0.030289357345460344	-3.5699724655453196e-05
A_ext	3706086.0	0.0061542445550878	-5.090613263663581	0.0	-12.619407257647849	0.7736349235032857	3.307204598238362e-06	0.9941220758916869	0.005860615165535892	0.19855741961800322	-159.9165130560579	-1.006292612270238	-158.91022044378767	-158.91022044378767	-0.18729519580351345
D_ext	1.0	1.6662534591091695e-09	-20.212688168453287	-4.0	-54.106368438993044	2.0946061792577187e-07	3.1761627725167888e-24	9.547318392294742e-19	3.961455115190685e-17	3.2212383089299365e-06	264.1065515744471	1.0038007415399426	263.1027508329072	263.10275083290713	0.310098879078226
E_ext	1047929.0	0.0017401681196320459	-6.35377354994497	-2.0	-17.75072626749148	0.21875224782892755	1.9541483588617774e-08	0.005874030364334867	0.030176152650850534	0.33246305209940785	-105.63272041591107	-1.009557239800562	-104.62316317611051	-104.6231631761105	-0.12331123686021293
F_ext	105.0	1.7518534174422627e-07	-15.55742132778776	-10.0	-48.56616589115631	2.2022117783269974e-05	8.090626381514225e-22	2.431984491657772e-16	8.743629672021455e-15	0.00023615337086490998	2.388308595979004	1.7203009495844994	0.6680076463945044	0.6680076463945044	0.0007873289872753054
