	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	27770.0	4.611548326955346e-05	-9.984361801670797	0.0	-24.750795485161227	0.02215150878770879	1.7818293081228677e-11	0.0004289629172617035	0.0033262385507402564	0.08439391840020267	-4.11209473432951	-1.0213284972439762	-3.090766237085518	-3.090766237085518	-0.0033662018251817763
B	267.0	4.438258257867113e-07	-14.62783363574195	-2.0	-38.261758728397176	0.0002131911233079797	2.416180173706454e-17	5.816784420472337e-10	1.236945217261656e-08	0.001802173106706691	-9.518165166030293	-4.005327359514369	-5.512837806515926	-5.5128378065159405	-0.006004117834457746
C	9496.0	1.576984467907075e-05	-11.057411006177288	-2.0	-29.410837452171148	0.007575023142387226	1.6866912282882076e-13	4.060590913550873e-06	5.040891483030704e-05	0.0369880719610539	-5.87053161259098	2.0052023667988	-7.875733979389786	-7.875733979389786	-0.008577584994285167
D	410.0	6.824171315624192e-07	-14.197624736215337	-4.0	-39.19528971419362	0.0003277981279807659	9.499526542179121e-18	2.2869444337690438e-10	5.07670431765408e-09	0.0026299612916878302	-5.1577733105388575	2.0302729909768797	-7.188046301515669	-7.188046301515669	-0.007828613594041856
E	11241.0	1.8668110281086832e-05	-10.888693822400752	-2.0	-28.992594945195226	0.008967201027131642	2.562571544109757e-13	6.16921138428906e-06	7.400548679241246e-05	0.04227301488112325	4.368388269414652	-0.0003262729761297489	4.368714542390791	4.3687145423907765	0.004758035302003666
F	73.0	1.2163904470412911e-07	-15.922207827636278	-10.0	-49.47045564275441	5.842914736341892e-05	3.275322714838607e-22	7.885109871780205e-15	2.5605948284912614e-13	0.0005695495481555532	-2.3746118444833724	0.7063053227715896	-3.080917167254962	-3.0809171672549622	-0.003355475049263824
A_ext	602200.0	0.0010000000000000002	-6.907755278982137	0.0	-17.12402270348606	0.48034862083585167	3.6570544944566896e-08	0.8804102376000383	0.1121354757769532	0.35221233358008147	-160.42481735384337	-1.0062725491338058	-159.41854480470957	-159.41854480470957	-0.17362522925559787
D_ext	6.0	9.999999999999982e-09	-18.420680743952367	-4.0	-49.66406054262949	4.803486208358507e-06	2.6988115332611054e-22	6.497199609242173e-15	2.1224665191179871e-13	5.8824302024644767e-05	297.63246064532467	1.0033711752173868	296.62908947010726	296.62908947010726	0.32306337839313376
E_ext	602200.0	0.0010000000000000002	-6.907755278982137	-2.0	-19.12402270348606	0.48034862083585167	4.9492850581902354e-09	0.11915056887001467	0.2534770241151756	0.35221233358008147	-118.91458619800777	-1.0084807150009478	-117.90610548300683	-117.90610548300683	-0.12841338264754373
F_ext	6.0	9.999999999999982e-09	-18.420680743952367	-10.0	-55.66406054262949	4.803486208358507e-06	6.689684962483237e-25	1.610494767364485e-17	6.227365364583871e-16	5.8824302024644767e-05	4.371731305084809	1.2965835381045723	3.075147766980236	3.0751477669802365	0.003349191505234529
