	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8922.0	1.48169599383e-05	-11.1197380915	0.0	-27.5653435661	0.00725068706739	1.06788232279e-12	2.5718933256e-05	0.000271804968572	0.0357216630353	-0.172063877788	-0.172063911537	3.37493766267e-08	-0.136681160215	-0.000383439614165
B	321.0	5.33077669979e-07	-14.4445987011	-2.0	-37.8075273531	0.000260861835608	3.80539283517e-17	9.16492784385e-10	1.90726427734e-08	0.0021525065641	-0.00385059998042	-0.00387211683107	2.15168506449e-05	15.455606106	0.0433585113899
C	3657.0	6.07273803165e-06	-12.0117009785	-2.0	-31.7764804856	0.00297169752049	1.58361596284e-14	3.81398889956e-07	5.63685440288e-06	0.0172911843731	0.112456800054	0.112467562822	-1.07627681398e-05	-7.77139493906	-0.0218015465501
D	650.0	1.08087279535e-06	-13.7377416994	-4.0	-38.0552598136	0.00052892566568	2.97037072215e-17	7.15385625535e-10	1.50647331377e-08	0.00399056571688	0.08170781331	0.0817078128678	4.42261782752e-10	0.285277865419	0.000800306600222
E	12581.0	2.08926670517e-05	-10.7761123193	-2.0	-28.7135103313	0.0102238375096	3.38751250454e-13	8.15850268789e-06	9.55886880013e-05	0.0468561874997	5.33299626682e-10	6.14797681514e-10	-8.14980305464e-11	-1.77305577154e-06	-4.97405655553e-09
F	65.0	1.08636089033e-07	-16.0352621731	-10.0	-49.7507124122	5.3161126782e-05	2.47480012123e-22	5.96032144943e-15	1.95222294449e-13	0.000523221545095	1.78391548207e-11	1.96791233513e-10	-1.78952078692e-10	-2.30790364582e-05	-6.47449642723e-08
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489350521132	3.65705449446e-08	0.880766901459	0.111824166997	0.349727187629					-0.189462526392
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89350521132e-06	2.69881153326e-22	6.49983169618e-15	2.12330002742e-13	5.98358326367e-05					0.303201973436
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489350521132	4.94928505819e-09	0.119198838074	0.253531431462	0.349727187629					-0.134299654657
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89350521132e-06	6.68968496248e-25	1.61114719649e-17	6.22982288258e-16	5.98358326367e-05					-0.00141355449394
