	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	367818.0	0.000610790468969	-7.40075658892	0.0	-18.3461513521	0.000232859013716	1.07737700914e-08	1.08248836749e-08	1.98543719628e-07	0.0019478836681	-0.319223618162	-0.375506290073	0.0562826719103	3125.07605108	1.9608740794e-07
B	8557.0	1.42095683324e-05	-11.1615949941	-2.0	-29.6691049937	5.41728503522e-06	1.3027810063e-13	1.30896174016e-13	3.88295279295e-12	6.56895421151e-05	-68.5178659724	-83.3381428885	14.8202769162	14386143962.5	0.902679369642
C	223374.0	0.000370931392942	-7.89949343714	-2.0	-21.5824981489	0.000141414646601	4.2348706352e-10	4.25496196923e-10	9.18125699063e-09	0.00125347315647	36.8265440784	36.7675530324	0.0589910459871	1160341493.61	0.0728073019947
D	6021999.0	0.00999999999997	-4.60517018599	-4.0	-15.4160151357	0.00381242055247	2.01794671211e-07	2.02752037915e-07	3.12466885117e-06	0.0212332418636	-18.7053988068	6.78402630992	-25.4894251167	-29932624747.2	-1.87816574816
E	4430856.0	0.00735778154385	-4.91199681235	-2.0	-14.1766249001	0.00280509575784	6.96899308926e-07	7.00205581539e-07	9.92323777931e-06	0.016483633578	2.72715969728	-9.270576888	11.9977365853	14647433419.2	0.919074353777
F	6021999.0	0.00999999999999	-4.60517018599	-10.0	-21.4160151357	0.00381242055248	5.00198980506e-10	5.02572055309e-10	1.07607120481e-08	0.0212332418636	36.0312510524	36.0312512449	-1.92471871996e-07	129375534.897	0.00811785469349
A_ext	573987031.0	0.95315016898	-0.0479828127362	0.0	-0.118947290616	0.363380929382	0.887854597798	0.892066812249	0.101886739754	0.367851823969	-4.02070555054	-0.00051627278122	-4.02018927775	-7787.94782624	-4.88666028429e-07
D_ext	221537001.0	0.367879444853	-0.999999989992	-4.0	-6.47895616456	0.140251115639	0.00153541256117	0.00154269695999	0.00998776432786	0.275498180863	18.7053988085	12.2114541812	6.49394462727	0.878960797907	5.51516640637e-11
E_ext	545438258.0	0.905742708021	-0.099000000003	-2.0	-2.24541666276	0.345307211532	0.105883413506	0.106385752116	0.238376812139	0.36717233695	-2.72715969792	-1.04373120681e-08	-2.72715968749	-261289466.112	-0.0163949847282
F_ext	221537001.0	0.36787944485	-0.99999999	-10.0	-12.4789561646	0.140251115638	3.80590722802e-06	3.82396344743e-06	4.77009732519e-05	0.275498180862	9.20156644578e-09	1.19045758141	-1.19045757221	-129375534.962	-0.00811785469757
