	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	4219.0	7.00662970718e-06	-11.8686537561	0.0	-29.4218726882	4.75866214419e-06	1.66818051541e-13	1.72063616136e-12	4.66091550425e-11	5.83199932482e-05	57.3224663006	-1.58434944529	58.9068157459	58.9068157459	0.0934362462417
B	114.0	1.89902010639e-07	-15.4767576313	-2.0	-40.3662041215	1.28974920454e-07	2.94564424591e-18	3.03826951652e-17	1.15553466848e-15	2.0460127217e-06	66.079175102	-2.74139056741	68.8205656694	68.8205656694	0.109161142713
C	5476.0	9.09427021369e-06	-11.6078659896	-2.0	-30.7753912403	6.17651584335e-06	4.30940593979e-14	4.44491445949e-13	1.26421570692e-11	7.408580186e-05	0.42992079173	1.71233441435	-1.28241362262	-1.28241362262	-0.00203412650148
D	2248.0	3.73346528858e-06	-12.4981737238	-4.0	-34.9824251084	2.5356413394e-06	6.41690798538e-16	6.61868654008e-15	2.16092698981e-13	3.26719008355e-05	-349.347143942	2.42235483392	-351.769498776	-351.769498776	-0.5579663591
E	72812.0	0.000120910568068	-9.02045939252	-2.0	-24.361323642	8.21183032559e-05	2.63033806798e-11	2.7130485907e-10	5.97624320215e-09	0.00077251558957	-7.17814500018e-05	1.04939014389e-06	-7.28308401445e-05	-7.28308401445e-05	-1.15522121296e-07
F	19.0	3.16165460282e-08	-17.2695852449	-10.0	-52.8105452307	2.14728716947e-08	1.1605707479e-23	1.19706469306e-22	6.04242340027e-21	3.79135232566e-07	1.64730899996e-05	-1.64794973756e-06	1.81210397372e-05	1.81210397372e-05	2.87430564627e-08
A_ext	221758647.0	0.368247504614	-0.999	0.0	-2.47647723318	0.25010105188	0.0840387536813	0.866813376634	0.123895003091	0.346612605631	-143.721970739	-1.00700662971	-142.714964109	-142.714964109	-0.226370248672
D_ext	221537001.0	0.36787944485	-0.99999999	-4.0	-6.47895616458	0.249851078335	0.00153541256114	0.0158369334188	0.0656505902189	0.346516018316	374.346528841	1.00267847676	373.343850364	373.343850364	0.59218695653
E_ext	221758647.0	0.368247504614	-0.999	-2.0	-4.47647723318	0.25010105188	0.0113734085323	0.11731043384	0.251388233015	0.346612605631	-9.27057564928	-1.12091056807	-8.14966508121	-8.14966508121	-0.0129267573484
F_ext	221537001.0	0.36787944485	-0.99999999	-10.0	-12.4789561646	0.249851078335	3.80590722802e-06	3.92558331836e-05	0.000398266542506	0.346516018316	4.16165460295	1.31629008402	2.84536451893	2.84536451893	0.00451323291663
