	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8621.0	1.431727149e-05	-11.154043953	0.0	-27.6503862938	0.0070047084404	9.80821122682e-13	2.36221841518e-05	0.000251654787995	0.034751568438	-1.2079639394	-1.20768576476	-0.000278174641969	-0.000278174641955	-7.30744405772e-07
B	295.0	4.89881596279e-07	-14.5291021153	-2.0	-38.0170076147	0.000239674001758	3.08619507924e-17	7.43281999178e-10	1.56237471896e-08	0.00199797781554	-2.21618502758	-2.2156657061	-0.000519321476187	-0.000519321476197	-1.36421947339e-06
C	4004.0	6.65051720881e-06	-11.9208159306	-2.0	-31.5511804334	0.00325375781679	1.98379339631e-14	4.77778586156e-07	6.95364612177e-06	0.0186373448394	1.24026866336	1.24081153545	-0.000542872087212	-0.000542872087211	-1.4260852032e-06
D	636.0	1.05731250062e-06	-13.7597802461	-4.0	-38.1098924055	0.000517288912375	2.81244489765e-17	6.77351759181e-10	1.43008128078e-08	0.00391427813432	2.10305500446	2.10360051245	-0.000545507997515	-0.000545507997515	-1.43300954647e-06
E	12838.0	2.13193089849e-05	-10.7558973708	-2.0	-28.6633983595	0.0104304471487	3.56159276032e-13	8.57777204349e-06	0.000100071173765	0.0475944029861	-0.000285467169824	1.25920626592e-07	-0.000285593090453	-0.000285593090446	-7.50232126534e-07
F	57.0	9.53760449688e-08	-16.165438391	-10.0	-50.0734135532	4.6662619178e-05	1.79222612546e-22	4.31641352313e-15	1.42771211085e-13	0.0004653461036	-0.000247554633695	2.72161669934e-06	-0.000250276250394	-0.000250276250396	-6.57457374969e-07
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489248838042	3.65705449446e-08	0.880768294273	0.111822951016	0.349756189666	-72.1014317708	-1.01406441439	-71.0873673564	-71.0873673564	-0.186741306303
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89248838042e-06	2.69881153326e-22	6.49984197479e-15	2.12330328235e-13	5.98244159587e-05	110.258747634	1.00915258523	109.249595049	109.249595049	0.286990682751
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489248838042	4.94928505819e-09	0.119199026571	0.253531643891	0.349756189666	-48.613306779	-1.02100253202	-47.592304247	-47.592304247	-0.125021496724
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89248838042e-06	6.68968496248e-25	1.6111497443e-17	6.22983247942e-16	5.98244159587e-05	10.5373492364	1.10485093659	9.43249829979	9.43249829979	0.0247784820244
