	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	9570.0	1.58921833553e-05	-11.0496831825	0.0	-27.3916805158	0.00784360887379	1.27041116508e-12	3.05967426336e-05	0.000318041421263	0.0380262569055	-1.05490351668	-1.05646698004	0.0015634633638	0.0015634633638	3.57978958286e-07
B	164.0	2.73245681042e-07	-15.1128945159	-2.0	-39.4642033995	0.000134860780337	7.25962572453e-18	1.74841741017e-10	3.92819385372e-09	0.00120178049807	-2.25122702017	-2.19804571801	-0.0531813021578	-0.0531813021578	-1.21766762098e-05
C	1578.0	2.62051272254e-06	-12.8521405637	-2.0	-33.8598933971	0.00129335764538	1.97167413748e-15	4.74860484544e-08	8.00749157035e-07	0.00860149263126	1.14522799019	1.11930385007	0.0259241401259	0.0259241401259	5.93573018188e-06
D	164.0	2.73192676363e-07	-15.1130885165	-4.0	-41.4646843184	0.000134834619805	9.82011122294e-19	2.36508796507e-11	5.78680755048e-10	0.00120157353256	2.03026486629	2.0382816192	-0.00801675290791	-0.00801675290813	-1.83555874822e-06
E	4195.0	6.96762934891e-06	-11.8742355132	-2.0	-31.4357096194	0.00343888301366	2.22661319094e-14	5.36260327525e-07	7.74287309095e-06	0.0195074372396	-0.00578050715092	1.1705919345e-08	-0.00578051885691	-0.00578051885691	-1.32353860452e-06
F	51.0	8.47798691262e-08	-16.2832077147	-10.0	-50.3653585472	4.18432205904e-05	1.33845170071e-22	3.22354394702e-15	1.07564165486e-13	0.000421845807942	-0.0587392492093	0.000572412002452	-0.0593116612118	-0.0593116612118	-1.35803161024e-05
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.49355137041	3.65705449446e-08	0.880769614119	0.111821798738	0.348510605689	-741.334539655	-1.00135074071	-740.333188914	-740.333188914	-0.169510658126
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.9355137041e-06	2.69881153326e-22	6.49985171491e-15	2.12330636675e-13	6.03073074635e-05	1434.08397572	1.00069779581	1433.08327792	1433.08327792	0.328126434459
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.49355137041	4.94928505819e-09	0.119199205193	0.25353184519	0.348510605689	-703.713699796	-1.00142305465	-702.712276742	-702.712276742	-0.160896772274
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.9355137041e-06	6.68968496248e-25	1.61115215863e-17	6.2298415735e-16	6.03073074635e-05	11.1594211671	1.09843080462	10.0609903625	10.0609903625	0.00230361832115
