	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8621.0	1.43172654933e-05	-11.1540443718	0.0	-27.6503873321	0.00700470518305	9.808201043e-13	2.36221596234e-05	0.000251654551215	0.0347515555351	-1.20796555413	-1.20768619707	-0.000279357057643	-0.000279357057644	-7.33851012779e-07
B	295.0	4.89881003894e-07	-14.5291033245	-2.0	-38.0170106123	0.000239673700866	3.0861858279e-17	7.43279771027e-10	1.56237025821e-08	0.00199797560813	-2.21618723851	-2.21566580723	-0.000521431281982	-0.000521431281989	-1.36976268866e-06
C	4004.0	6.65052759549e-06	-11.9208143688	-2.0	-31.5511765618	0.00325376274821	1.98380107677e-14	4.77780435893e-07	6.95367119331e-06	0.0186373681548	1.24027056265	1.24081193527	-0.000541372613849	-0.000541372613847	-1.42214714141e-06
D	636.0	1.05731353114e-06	-13.7597792715	-4.0	-38.1098899894	0.000517289392669	2.81245169294e-17	6.77353395718e-10	1.43008457232e-08	0.00391428128837	2.10305474981	2.1036006137	-0.00054586388525	-0.000545863885222	-1.43394539009e-06
E	12838.0	2.13193987698e-05	-10.7558931594	-2.0	-28.6633879196	0.0104304905942	3.56162994333e-13	8.57786159479e-06	0.000100072128949	0.0475945577834	-0.000284785178692	1.25619944447e-07	-0.000284910798641	-0.000284910798648	-7.48440293186e-07
F	57.0	9.5375819419e-08	-16.1654407558	-10.0	-50.0734194156	4.66625066732e-05	1.79221561881e-22	4.31638821854e-15	1.42770399406e-13	0.000465345094143	-0.000247649296739	2.7226599324e-06	-0.000250371956671	-0.000250371956671	-6.57709225329e-07
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489248815449	3.65705449446e-08	0.880768294214	0.111822951068	0.349756196107	-72.1013808075	-1.01406442447	-71.087316383	-71.087316383	-0.186741296471
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89248815449e-06	2.69881153326e-22	6.49984197435e-15	2.12330328221e-13	5.9824413422e-05	110.258675177	1.0091525913	109.249522585	109.249522585	0.286990683071
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489248815449	4.94928505819e-09	0.119199026563	0.253531643882	0.349756196107	-48.6132793468	-1.02100254412	-47.5922768027	-47.5922768027	-0.125021507695
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89248815449e-06	6.68968496248e-25	1.61114974419e-17	6.22983247902e-16	5.9824413422e-05	10.5373448924	1.10485098434	9.43249390808	9.43249390808	0.0247784869507
