	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	0.0	0.0	-2525711.96355	0.0	-6261129.3046		0.0				54.3527240958	-1.00000038296	55.3527244767	55.3527244697	3.3327949979e-07
B	0.0	0.0	-2525747.41547	-2.0	-6261219.18836		0.0				-40.5888109654	-2.00000024124	-38.588810727	-38.5888107158	-2.3234374924e-07
C	0.0	0.0	-2525767.55426	-2.0	-6261269.11155		0.0				-29.5221108031	1.00000039385	-30.5221111961	-30.5221111961	-1.8377404272e-07
D	0.0	0.0	-2525806.43201	-4.0	-6261367.48779		0.0				88.8027340919	2.0000002661	86.8027338274	86.8027338237	5.22640429851e-07
E	0.0	0.0	-2525884.62663	-2.0	-6261559.32881		0.0				-21.8192716017	2.9487523534e-13	-21.8192716017	-21.8192715999	-1.3137412827e-07
F	0.0	0.0	-2525736.31102	-10.0	-6261199.66091		0.0				9.82053961419	-5.81756864904e-14	9.82053961419	9.82053961419	5.91296013264e-08
A_ext	0.0	0.0	-2525667.26804	0.0	-6261018.50639		0.0				-37221220.2243	-1.00000002687	-37221219.2243	-37221219.2243	-0.224109462422
D_ext	0.0	0.0	-2525829.5831	-4.0	-6261424.87831		0.0				32823335.6386	1.00000003047	32823334.6386	32823334.6386	0.19762974008
E_ext	0.0	0.0	-2525865.61296	-2.0	-6261512.19477		0.0				-8600111.99288	-1.00000011628	-8600110.99288	-8600110.99288	-0.0517813841554
F_ext	0.0	0.0	-2525774.85479	-10.0	-6261295.20924		0.0				12997935.5327	1.00000007694	12997934.5327	12997934.5327	0.0782607389398
