	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	23991.0	3.98403401738e-05	-10.1306305868	0.0	-25.1133893953	0.00501650462762	1.2399197101e-11	3.43561298684e-06	4.32245298754e-05	0.0265625017499	-1.06616541325	-1.02194204773	-0.0442233655244	-0.0442233655244	-5.2131188e-05
B	192.0	3.19690398104e-07	-14.9559128154	-2.0	-39.0750526414	4.02538822334e-05	1.07132257806e-17	2.96845814475e-12	7.87917205394e-11	0.000407381529639	-3.69328992497	-3.5632296974	-0.130060227572	-0.130060227572	-0.000153317010012
C	2737.0	4.54508284008e-06	-12.3014646039	-2.0	-32.4947918181	0.000572295040673	7.72131415481e-15	2.13944878605e-09	4.27092119734e-08	0.00427267230262	1.75096854407	1.78175999388	-0.0307914498119	-0.0307914498119	-3.62974377888e-05
D	223.0	3.71747845252e-07	-14.8050500479	-4.0	-40.7010704501	4.68087063985e-05	2.10741320007e-18	5.83929435092e-13	1.64487060672e-11	0.000466656652557	1.99009068575	2.03388631816	-0.0437956324085	-0.0437956324085	-5.16269695802e-05
E	7212.0	1.19777293289e-05	-11.3324615217	-2.0	-30.0926756301	0.00150817825211	8.52937145025e-14	2.36334813338e-08	4.15018146099e-07	0.00979841211833	0.0531315057208	-4.84471834294e-06	0.0531363504391	0.0531363504391	6.26379526191e-05
F	192.0	3.19143682769e-07	-14.9576244194	-10.0	-47.0792956327	4.01850424595e-05	3.57867034789e-21	9.91590521761e-16	3.42566973254e-14	0.00040675363107	-0.0169537108944	0.0102209198143	-0.0271746307088	-0.0271746307088	-3.20338754301e-05
A_ext	3832975.0	0.00636495504202	-5.05694811031	0.0	-12.5359528174	0.801444623303	3.59504942949e-06	0.996128895095	0.0038636024913	0.177391272571	-159.78109035	-1.00629797917	-158.774792371	-158.774792371	-0.187166183591
D_ext	0.0	1.51955794321e-09	-20.3048463712	-4.0	-54.3348245861	1.91335450973e-07	2.52746707649e-24	7.00319435288e-19	2.92752785437e-17	2.95981356418e-06	264.216389976	1.00379915552	263.212590821	263.212590821	0.310279077436
E_ext	914928.0	0.00151930977324	-6.48949914381	-2.0	-18.0871840685	0.191304202599	1.39584040605e-08	0.00386764351556	0.0214851846596	0.316396190691	-105.749501641	-1.0095465848	-104.739955056	-104.739955056	-0.123469080732
F_ext	127.0	2.12501819166e-07	-15.3643152878	-10.0	-48.0874644782	2.67572102691e-05	1.30580861163e-21	3.61818026433e-16	1.28645811394e-14	0.000281718815774	2.29642032887	1.77135476645	0.525065562421	0.525065562421	0.000618955414684
