	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8157.0	1.35469697703e-05	-11.2093476688	0.0	-27.7874817825	0.00656770890075	8.55165153659e-13	2.05951861514e-05	0.000222231392136	0.0330066136762	-0.906877604705	-1.1976242885	0.2907466838	0.2907466838	0.000232056404731
B	136.0	2.272489115e-07	-15.2972198938	-2.0	-39.9211379358	0.000110172586493	4.59695320845e-18	1.10709734432e-10	2.53792205766e-09	0.00100405373042	-2.28248215966	-2.58920803549	0.30672587583	0.30672587583	0.000244810028623
C	3752.0	6.23131026407e-06	-11.985923932	-2.0	-31.7125803166	0.00302100267281	1.68811240622e-14	4.06552922577e-07	5.98265056138e-06	0.0175283604799	1.11621088598	1.3721604751	-0.255949589122	-0.255949589122	-0.000204283469953
D	564.0	9.37841142607e-07	-13.8796852598	-4.0	-38.4071316814	0.000454674936477	2.08927036945e-17	5.03164938319e-10	1.07728132009e-08	0.00349914549254	1.9577067665	2.12739077114	-0.169684004636	-0.169684004636	-0.000135431501888
E	25077.0	4.16423574515e-05	-10.0863927008	-2.0	-27.0037256139	0.020188638959	1.87253944571e-12	4.50969012187e-05	0.000451271027168	0.0787888942644	-0.0711883176687	1.76477387348e-06	-0.0711900824426	-0.0711900824426	-5.68196148214e-05
F	34.0	5.72155139453e-08	-16.6764407525	-10.0	-51.3401660201	2.77386638171e-05	5.04950954492e-23	1.2160877768e-15	4.17642696444e-14	0.00029105301494	-0.0258989705144	0.00222961212634	-0.0281285826408	-0.0281285826408	-2.24505321006e-05
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.484810183538	3.65705449446e-08	0.880738857948	0.111848649593	0.35100152511	-213.544363839	-1.00470490011	-212.539658939	-212.539658939	-0.169636291191
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.84810183538e-06	2.69881153326e-22	6.49962474233e-15	2.12323449131e-13	5.93258503285e-05	411.144564744	1.0024381647	410.142126579	410.142126579	0.327350620405
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.484810183538	4.94928505819e-09	0.119195042798	0.253527154268	0.35100152511	-201.808857516	-1.00497986001	-200.803877656	-200.803877656	-0.160269500913
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.84810183538e-06	6.68968496248e-25	1.61109589776e-17	6.22962965557e-16	5.93258503285e-05	4.42118601138	1.29229629628	3.12888971511	3.12888971511	0.00249729038556
