	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	108699.0	0.000180503921786	-8.61975805308	0.0	-21.3680025766	0.0421785751844	5.24800683154e-10	0.0107113785755	0.0485916192457	0.133530742101	-78373422.7019	-78373423.3503	0.648367180038	-4.53838659555e-05	-2.3966504285e-06
B	17546.0	2.91369205922e-05	-10.4435044391	-2.0	-27.888989968	0.00680846035742	7.72619297214e-13	1.57694493412e-05	0.00017436967804	0.0339714207441	-3304146251.11	-3304146250.12	-0.991757341661	1.40392342196e-09	7.41389727388e-11
C	669834.0	0.00111231284733	-6.80131378519	-2.0	-18.8601589036	0.259915522032	6.44372592951e-09	0.131518860557	0.266799819614	0.350209814669	1782894504.54	1782894503.04	1.50726292624	4.46609648429e-05	2.35847516017e-06
D	255001.0	0.00042344904877	-7.76707736098	-4.0	-23.2542444973	0.0989478641991	7.95810992947e-11	0.00162428005406	0.0104322482431	0.228882458426	5485186.03891	5485184.4096	1.62930382948	2.14995077504	0.113535511746
E	326544.0	0.000542253084138	-7.51977772061	-2.0	-20.6411995232	0.126708950432	1.08552779288e-09	0.0221560289783	0.0844066189951	0.261763275629	-8282.41929369	-8282.44598473	0.0266910330392	2.10470786355e-08	1.11146305354e-09
F	6.0	1.00869245282e-08	-18.412025853	-10.0	-55.6426054471	2.35702415983e-06	6.83476356489e-25	1.39500085209e-17	5.41414499896e-16	3.05425799475e-05	1741359695.62	1741359695.41	0.207042731345	-2.23044835934e-08	-1.17786461834e-09
A_ext	597876.0	0.000992820589998	-6.91496058497	0.0	-17.1418843414	0.231993618119	3.59231342342e-08	0.733204629403	0.2275357219	0.338953212248					-1.1329237895e-09
D_ext	6.0	9.98581372812e-09	-18.4221003783	-4.0	-49.6675797541	2.33339747381e-06	2.68933053737e-22	5.48902439064e-15	1.80237746847e-13	3.0259930607e-05					-0.113535472554
E_ext	601603.0	0.000999010084182	-6.90874568509	-2.0	-19.1264778768	0.233439924899	4.93714861004e-09	0.100769052982	0.231257316589	0.339615526377					-1.11065812103e-09
F_ext	6.0	1.02466879297e-08	-18.3963113124	-10.0	-55.6036497894	2.39435627193e-06	7.10627030203e-25	1.45041639442e-17	5.62356835354e-16	3.09887073793e-05					1.21875566583e-09
