	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	4232063.0	0.00702767052938	-4.95789998947	0.0	-12.2904168652	0.00452580502427	4.59557412131e-06	3.60776594795e-05	0.000369068566262	0.0244301136368	-0.00366857449125	-0.00366740236267	-1.17212857353e-06	47091531632.6	0.434464574695
B	8735.0	1.45067484987e-05	-11.1408966031	-2.0	-29.6177945894	9.3423154894e-06	1.37137189159e-13	1.07659863204e-12	2.96680593899e-11	0.000108192948595	-49.4720963841	-49.4720940335	-2.35056998843e-06	30646646409.6	0.282744725784
C	395144.0	0.000656168401119	-7.32909309294	-2.0	-20.1685006852	0.000422571068769	1.74153194098e-09	1.36719362328e-08	2.47570335139e-07	0.00328301925081	12.3572655373	12.3572631898	2.3474912918e-06	323.706451926	2.98650269138e-09
D	2390456.0	0.00396953977949	-5.52910511557	-4.0	-17.7064093479	0.00255637526018	2.04269782222e-08	1.60362458539e-07	2.50900363927e-06	0.015259425571	17.9264826155	17.8002803272	0.12620228828	-13.7872078238	-1.27200224239e-10
E	6021999.0	0.00999999999565	-4.60517018642	-2.0	-13.4160151367	0.00643997894235	1.49107214445e-06	1.17056958862e-05	0.000132923268845	0.0324911750153	-4.03598946531	-4.03598946531	-2.10498285469e-13	4982405.43504	4.59674719264e-05
F	6022000.0	0.01	-4.60517018599	-10.0	-21.4160151357	0.00643997894515	5.00198980507e-10	3.92682350765e-09	7.60053771811e-08	0.0324911750266	-49.600514843	-49.600514843	2.84217094304e-14	-0.00137556036336	-1.26908645252e-14
A_ext	251193173.0	0.417125827841	-0.874367357278	0.0	-2.16751837211	0.268628154877	0.114461315141	0.898581165751	0.0960926902612	0.353092147962	-5.86181026902	-7.54045231325e-11	-5.86181026895	-77738178367.9	-0.717209303483
D_ext	221537001.0	0.36787944485	-0.99999999	-4.0	-6.47895616458	0.236913587919	0.00153541256114	0.0120537913391	0.0532581827784	0.341169736943	11.1175856359	0.63615652197	10.4814291139	17.4189588626	1.60706613089e-10
E_ext	221758647.0	0.368247504752	-0.998999999624	-2.0	-4.47647723225	0.237150617721	0.0113734085429	0.0892872032308	0.215708695554	0.341273925699	-4.72305430565	-9.47946277508e-07	-4.72305335771	-4982407.1445	-4.59674876978e-05
F_ext	221537001.0	0.367879444862	-0.999999989969	-10.0	-12.4789561645	0.236913587926	3.80590722831e-06	2.98783615211e-05	0.000311284005621	0.341169736946	72.2958000529	72.3185666532	-0.0227666003102	-0.000629718924697	-5.80976144353e-15
