	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.43135139358e-05	-11.1543064365	0.0	-27.6510369789	0.00700194904033	9.80183124612e-13	2.36068138555e-05	0.000251506408539	0.0347406374341	-1.21013429162	-1.21013429162	-4.08562073062e-14	-4.08562073062e-14	-8.84708972748e-17
B	295.0	4.91210715926e-07	-14.5263926445	-2.0	-38.0102909554	0.00024029266443	3.10699377074e-17	7.48291025976e-10	1.57240107933e-08	0.00200251566996	-2.21623034377	-2.21623034377	6.03961325396e-14	6.75015598972e-14	1.87350135405e-16
C	4039.0	6.70736518606e-06	-11.9123043538	-2.0	-31.5300806076	0.00328113902976	2.02609580876e-14	4.87966640211e-07	7.09162835286e-06	0.0187666868119	1.24302714779	1.24302714779	1.7763568394e-15	0.0	-6.93889390391e-18
D	643.0	1.06883112743e-06	-13.7489449109	-4.0	-38.0830320841	0.000522855611876	2.88901177359e-17	6.95792056128e-10	1.46714506097e-08	0.00395080429787	2.10480553323	2.10480553323	-2.84217094304e-14	-2.84217094304e-14	-1.11022302463e-16
E	12960.0	2.15223761591e-05	-10.7464174125	-2.0	-28.6398979581	0.0105284126434	3.64628284767e-13	8.78173866577e-06	0.000102244344347	0.0479429979792	0.0	0.0	0.0	0.0	0.0
F	57.0	9.52273667233e-08	-16.1669984709	-10.0	-50.0772809229	4.65837509945e-05	1.7853083099e-22	4.29975173906e-15	1.42236729642e-13	0.000464638386838	0.0	0.0	0.0	0.0	0.0
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489184491785	3.65705449446e-08	0.880768119164	0.111823103893	0.349774531578	-70.8640462773	-1.01431351394	-69.8497327634	-69.8497327634	-0.187050551915
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89184491785e-06	2.69881153326e-22	6.49984068253e-15	2.12330287313e-13	5.98171912411e-05	107.883112743	1.00935601494	106.873756728	106.873756728	0.286197160539
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489184491785	4.94928505819e-09	0.119199002873	0.253531617183	0.349774531578	-47.4632711838	-1.02152237616	-46.4417488076	-46.4417488076	-0.124366327582
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89184491785e-06	6.68968496248e-25	1.61114942398e-17	6.22983127287e-16	5.98171912411e-05	10.5227366723	1.10501182952	9.41772484281	9.41772484281	0.0252197189587
