	Counts	Concentrations	Log Concentrations	Standard Chemical potential	Chemical potential	Normalized Concentrations	Absolute activities	Normalized absolute activities	Entropy	Entropy of Concentrations	fullS*forward_rate	fullS*backward_rate	fullS*net_flux	fullS*net_likelihood	fullS*net_probabilities
A	8619.0	1.43135139589e-05	-11.1543064349	0.0	-27.6510369748	0.00700194905171	9.80183128545e-13	2.36068139502e-05	0.000251506409454	0.0347406374792	-1.21013429119	-1.21013429115	-3.7131187014e-11	-3.71453978687e-11	-9.94690441125e-14
B	295.0	4.91210717631e-07	-14.5263926411	-2.0	-38.0102909468	0.000240292665266	3.10699379747e-17	7.48291032415e-10	1.57240109222e-08	0.00200251567609	-2.21623033913	-2.21623034624	7.10823755412e-09	7.10825176498e-09	1.90352039686e-11
C	4039.0	6.70736517731e-06	-11.9123043551	-2.0	-31.5300806108	0.0032811390255	2.02609580221e-14	4.87966638633e-07	7.09162833151e-06	0.0187666867918	1.24302714545	1.24302714806	-2.61508681376e-09	-2.61508681376e-09	-7.00293989464e-12
D	643.0	1.06883112766e-06	-13.7489449107	-4.0	-38.0830320836	0.000522855611993	2.88901177514e-17	6.95792056502e-10	1.46714506172e-08	0.00395080429864	2.10480553304	2.10480553369	-6.55347776046e-10	-6.55347776046e-10	-1.75498504618e-12
E	12960.0	2.15223761264e-05	-10.746417414	-2.0	-28.6398979619	0.0105284126275	3.64628283394e-13	8.7817386327e-06	0.000102244343995	0.0479429979227	0.0	0.0	0.0	0.0	0.0
F	57.0	9.52273671159e-08	-16.1669984668	-10.0	-50.0772809127	4.6583751187e-05	1.78530832815e-22	4.29975178301e-15	1.42236731052e-13	0.000464638388565	0.0	0.0	0.0	0.0	0.0
A_ext	602200.0	0.001	-6.90775527898	0.0	-17.1240227035	0.489184491789	3.65705449446e-08	0.880768119164	0.111823103893	0.349774531577	-70.8640461247	-1.01431351397	-69.8497326107	-69.8497326107	-0.187050551752
D_ext	6.0	1e-08	-18.420680744	-4.0	-49.6640605426	4.89184491789e-06	2.69881153326e-22	6.49984068253e-15	2.12330287313e-13	5.98171912416e-05	107.883112765	1.00935601494	106.87375675	106.87375675	0.286197160972
E_ext	602200.0	0.001	-6.90775527898	-2.0	-19.1240227035	0.489184491789	4.94928505819e-09	0.119199002873	0.253531617183	0.349774531577	-47.4632712455	-1.02152237613	-46.4417488693	-46.4417488693	-0.124366327911
F_ext	6.0	1e-08	-18.420680744	-10.0	-55.6640605426	4.89184491789e-06	6.68968496248e-25	1.61114942398e-17	6.22983127287e-16	5.98171912416e-05	10.5227365571	1.10501183079	9.41772472635	9.41772472635	0.0252197186799
